Date,Day,Country,Type,Value,TotalValue
3/26/2014,4,UnitedStates,Deaths,0,0
3/26/2014,4,Spain,Cases,0,0
3/26/2014,4,Spain,Deaths,0,0
3/26/2014,4,Mali,Cases,0,0
3/26/2014,4,Mali,Deaths,0,0
3/27/2014,5,Guinea,Cases,17,103
3/27/2014,5,Guinea,Deaths,4,66
3/27/2014,5,Liberia,Cases,8,8
3/27/2014,5,Liberia,Deaths,6,6
3/27/2014,5,SierraLeone,Cases,6,6
3/27/2014,5,SierraLeone,Deaths,5,5
3/27/2014,5,Nigeria,Cases,0,0
3/27/2014,5,Nigeria,Deaths,0,0
3/27/2014,5,Senegal,Cases,0,0
3/27/2014,5,Senegal,Deaths,0,0
3/27/2014,5,UnitedStates,Cases,0,0
3/27/2014,5,UnitedStates,Deaths,0,0
3/27/2014,5,Spain,Cases,0,0
3/27/2014,5,Spain,Deaths,0,0
3/27/2014,5,Mali,Cases,0,0
3/27/2014,5,Mali,Deaths,0,0
3/28/2014,6,Guinea,Cases,9,112
3/28/2014,6,Guinea,Deaths,4,70
3/28/2014,6,Liberia,Cases,0,8
3/28/2014,6,Liberia,Deaths,0,6
3/28/2014,6,SierraLeone,Cases,0,6
3/28/2014,6,SierraLeone,Deaths,0,5
3/28/2014,6,Nigeria,Cases,0,0
3/28/2014,6,Nigeria,Deaths,0,0
3/28/2014,6,Senegal,Cases,0,0
3/28/2014,6,Senegal,Deaths,0,0
3/28/2014,6,UnitedStates,Cases,0,0
3/28/2014,6,UnitedStates,Deaths,0,0
3/28/2014,6,Spain,Cases,0,0
3/28/2014,6,Spain,Deaths,0,0
3/28/2014,6,Mali,Cases,0,0
3/28/2014,6,Mali,Deaths,0,0
3/29/2014,7,Guinea,Cases,0,112
3/29/2014,7,Guinea,Deaths,0,70
3/29/2014,7,Liberia,Cases,0,8
3/29/2014,7,Liberia,Deaths,0,6
3/29/2014,7,SierraLeone,Cases,0,6
3/29/2014,7,SierraLeone,Deaths,0,5
3/29/2014,7,Nigeria,Cases,0,0
3/29/2014,7,Nigeria,Deaths,0,0
3/29/2014,7,Senegal,Cases,0,0
3/29/2014,7,Senegal,Deaths,0,0
3/29/2014,7,UnitedStates,Cases,0,0
3/29/2014,7,UnitedStates,Deaths,0,0
3/29/2014,7,Spain,Cases,0,0
3/29/2014,7,Spain,Deaths,0,0
3/29/2014,7,Mali,Cases,0,0
3/29/2014,7,Mali,Deaths,0,0
3/31/2014,9,Guinea,Cases,10,122
3/31/2014,9,Guinea,Deaths,10,80
3/31/2014,9,Liberia,Cases,0,8
3/31/2014,9,Liberia,Deaths,0,6
3/31/2014,9,SierraLeone,Cases,0,6
3/31/2014,9,SierraLeone,Deaths,0,5
3/31/2014,9,Nigeria,Cases,0,0
3/31/2014,9,Nigeria,Deaths,0,0
3/31/2014,9,Senegal,Cases,0,0
3/31/2014,9,Senegal,Deaths,0,0
3/31/2014,9,UnitedStates,Cases,0,0
3/31/2014,9,UnitedStates,Deaths,0,0
3/31/2014,9,Spain,Cases,0,0
3/31/2014,9,Spain,Deaths,0,0
3/31/2014,9,Mali,Cases,0,0
3/31/2014,9,Mali,Deaths,0,0
4/1/2014,10,Guinea,Cases,5,127
4/1/2014,10,Guinea,Deaths,3,83
4/1/2014,10,Liberia,Cases,0,8
4/1/2014,10,Liberia,Deaths,0,6
4/1/2014,10,SierraLeone,Cases,0,6
4/1/2014,10,SierraLeone,Deaths,0,5
4/1/2014,10,Nigeria,Cases,0,0
4/1/2014,10,Nigeria,Deaths,0,0
4/1/2014,10,Senegal,Cases,0,0
4/1/2014,10,Senegal,Deaths,0,0
4/1/2014,10,UnitedStates,Cases,0,0
4/1/2014,10,UnitedStates,Deaths,0,0
4/1/2014,10,Spain,Cases,0,0
4/1/2014,10,Spain,Deaths,0,0
4/1/2014,10,Mali,Cases,0,0
4/1/2014,10,Mali,Deaths,0,0
4/4/2014,13,Guinea,Cases,16,143
4/4/2014,13,Guinea,Deaths,3,86
4/4/2014,13,Liberia,Cases,10,18
4/4/2014,13,Liberia,Deaths,1,7
4/4/2014,13,SierraLeone,Cases,0,6
4/4/2014,13,SierraLeone,Deaths,0,5
4/4/2014,13,Nigeria,Cases,0,0
4/4/2014,13,Nigeria,Deaths,0,0
4/4/2014,13,Senegal,Cases,0,0
4/4/2014,13,Senegal,Deaths,0,0
4/4/2014,13,UnitedStates,Cases,0,0
4/4/2014,13,UnitedStates,Deaths,0,0
4/4/2014,13,Spain,Cases,0,0
4/4/2014,13,Spain,Deaths,0,0
4/4/2014,13,Mali,Cases,0,0
4/4/2014,13,Mali,Deaths,0,0
4/7/2014,16,Guinea,Cases,8,151
4/7/2014,16,Guinea,Deaths,9,95
4/7/2014,16,Liberia,Cases,3,21
4/7/2014,16,Liberia,Deaths,3,10
4/7/2014,16,SierraLeone,Cases,0,6
4/7/2014,16,SierraLeone,Deaths,0,5
4/7/2014,16,Nigeria,Cases,0,0
4/7/2014,16,Nigeria,Deaths,0,0
4/7/2014,16,Senegal,Cases,0,0
4/7/2014,16,Senegal,Deaths,0,0
4/7/2014,16,UnitedStates,Cases,0,0
4/7/2014,16,UnitedStates,Deaths,0,0
4/7/2014,16,Spain,Cases,0,0
4/7/2014,16,Spain,Deaths,0,0
4/7/2014,16,Mali,Cases,0,0
4/7/2014,16,Mali,Deaths,0,0
4/9/2014,18,Guinea,Cases,7,158
4/9/2014,18,Guinea,Deaths,6,101
4/9/2014,18,Liberia,Cases,4,25
4/9/2014,18,Liberia,Deaths,2,12
4/9/2014,18,SierraLeone,Cases,0,6
4/9/2014,18,SierraLeone,Deaths,0,5
4/9/2014,18,Nigeria,Cases,0,0
4/9/2014,18,Nigeria,Deaths,0,0
4/9/2014,18,Senegal,Cases,0,0
4/9/2014,18,Senegal,Deaths,0,0
4/9/2014,18,UnitedStates,Cases,0,0
4/9/2014,18,UnitedStates,Deaths,0,0
4/9/2014,18,Spain,Cases,0,0
4/9/2014,18,Spain,Deaths,0,0
4/9/2014,18,Mali,Cases,0,0
4/9/2014,18,Mali,Deaths,0,0
4/11/2014,20,Guinea,Cases,1,159
4/11/2014,20,Guinea,Deaths,5,106
4/11/2014,20,Liberia,Cases,1,26
4/11/2014,20,Liberia,Deaths,1,13
4/11/2014,20,SierraLeone,Cases,0,6
4/11/2014,20,SierraLeone,Deaths,0,5
4/11/2014,20,Nigeria,Cases,0,0
4/11/2014,20,Nigeria,Deaths,0,0
4/11/2014,20,Senegal,Cases,0,0
4/11/2014,20,Senegal,Deaths,0,0
4/11/2014,20,UnitedStates,Cases,0,0
4/11/2014,20,UnitedStates,Deaths,0,0
4/11/2014,20,Spain,Cases,0,0
4/11/2014,20,Spain,Deaths,0,0
4/11/2014,20,Mali,Cases,0,0
4/11/2014,20,Mali,Deaths,0,0
4/14/2014,23,Guinea,Cases,9,168
4/14/2014,23,Guinea,Deaths,2,108
4/14/2014,23,Liberia,Cases,0,26
4/14/2014,23,Liberia,Deaths,0,13
4/14/2014,23,SierraLeone,Cases,0,6
4/14/2014,23,SierraLeone,Deaths,0,5
4/14/2014,23,Nigeria,Cases,0,0
4/14/2014,23,Nigeria,Deaths,0,0
4/14/2014,23,Senegal,Cases,0,0
4/14/2014,23,Senegal,Deaths,0,0
4/14/2014,23,UnitedStates,Cases,0,0
4/14/2014,23,UnitedStates,Deaths,0,0
4/14/2014,23,Spain,Cases,0,0
4/14/2014,23,Spain,Deaths,0,0
4/14/2014,23,Mali,Cases,0,0
4/14/2014,23,Mali,Deaths,0,0
4/15/2014,24,Guinea,Cases,0,168
4/15/2014,24,Guinea,Deaths,0,108
4/15/2014,24,Liberia,Cases,0,26
4/15/2014,24,Liberia,Deaths,0,13
4/15/2014,24,SierraLeone,Cases,6,12
4/15/2014,24,SierraLeone,Deaths,0,5
4/15/2014,24,Nigeria,Cases,0,0
4/15/2014,24,Nigeria,Deaths,0,0
4/15/2014,24,Senegal,Cases,0,0
4/15/2014,24,Senegal,Deaths,0,0
4/15/2014,24,UnitedStates,Cases,0,0
4/15/2014,24,UnitedStates,Deaths,0,0
4/15/2014,24,Spain,Cases,0,0
4/15/2014,24,Spain,Deaths,0,0
4/15/2014,24,Mali,Cases,0,0
4/15/2014,24,Mali,Deaths,0,0
4/16/2014,25,Guinea,Cases,29,197
4/16/2014,25,Guinea,Deaths,14,122
4/16/2014,25,Liberia,Cases,1,27
4/16/2014,25,Liberia,Deaths,0,13
4/16/2014,25,SierraLeone,Cases,0,12
4/16/2014,25,SierraLeone,Deaths,0,5
4/16/2014,25,Nigeria,Cases,0,0
4/16/2014,25,Nigeria,Deaths,0,0
4/16/2014,25,Senegal,Cases,0,0
4/16/2014,25,Senegal,Deaths,0,0
4/16/2014,25,UnitedStates,Cases,0,0
4/16/2014,25,UnitedStates,Deaths,0,0
4/16/2014,25,Spain,Cases,0,0
4/16/2014,25,Spain,Deaths,0,0
4/16/2014,25,Mali,Cases,0,0
4/16/2014,25,Mali,Deaths,0,0
4/17/2014,26,Guinea,Cases,6,203
4/17/2014,26,Guinea,Deaths,7,129
4/17/2014,26,Liberia,Cases,0,27
4/17/2014,26,Liberia,Deaths,0,13
4/17/2014,26,SierraLeone,Cases,0,12
4/17/2014,26,SierraLeone,Deaths,0,5
4/17/2014,26,Nigeria,Cases,0,0
4/17/2014,26,Nigeria,Deaths,0,0
4/17/2014,26,Senegal,Cases,0,0
4/17/2014,26,Senegal,Deaths,0,0
4/17/2014,26,UnitedStates,Cases,0,0
4/17/2014,26,UnitedStates,Deaths,0,0
4/17/2014,26,Spain,Cases,0,0
4/17/2014,26,Spain,Deaths,0,0
4/17/2014,26,Mali,Cases,0,0
4/17/2014,26,Mali,Deaths,0,0
4/20/2014,29,Guinea,Cases,5,208
4/20/2014,29,Guinea,Deaths,7,136
4/20/2014,29,Liberia,Cases,0,27
4/20/2014,29,Liberia,Deaths,0,13
4/20/2014,29,SierraLeone,Cases,0,12
4/20/2014,29,SierraLeone,Deaths,0,5
4/20/2014,29,Nigeria,Cases,0,0
4/20/2014,29,Nigeria,Deaths,0,0
4/20/2014,29,Senegal,Cases,0,0
4/20/2014,29,Senegal,Deaths,0,0
4/20/2014,29,UnitedStates,Cases,0,0
4/20/2014,29,UnitedStates,Deaths,0,0
4/20/2014,29,Spain,Cases,0,0
4/20/2014,29,Spain,Deaths,0,0
4/20/2014,29,Mali,Cases,0,0
4/20/2014,29,Mali,Deaths,0,0
4/21/2014,30,Guinea,Cases,0,208
4/21/2014,30,Guinea,Deaths,0,136
4/21/2014,30,Liberia,Cases,7,34
4/21/2014,30,Liberia,Deaths,0,13
4/21/2014,30,SierraLeone,Cases,0,12
4/21/2014,30,SierraLeone,Deaths,0,5
4/21/2014,30,Nigeria,Cases,0,0
4/21/2014,30,Nigeria,Deaths,0,0
4/21/2014,30,Senegal,Cases,0,0
4/21/2014,30,Senegal,Deaths,0,0
4/21/2014,30,UnitedStates,Cases,0,0
4/21/2014,30,UnitedStates,Deaths,0,0
4/21/2014,30,Spain,Cases,0,0
4/21/2014,30,Spain,Deaths,0,0
4/21/2014,30,Mali,Cases,0,0
4/21/2014,30,Mali,Deaths,0,0
4/22/2014,31,Guinea,Cases,0,208
4/22/2014,31,Guinea,Deaths,0,136
4/22/2014,31,Liberia,Cases,0,34
4/22/2014,31,Liberia,Deaths,0,13
4/22/2014,31,SierraLeone,Cases,0,12
4/22/2014,31,SierraLeone,Deaths,0,5
4/22/2014,31,Nigeria,Cases,0,0
4/22/2014,31,Nigeria,Deaths,0,0
4/22/2014,31,Senegal,Cases,0,0
4/22/2014,31,Senegal,Deaths,0,0
4/22/2014,31,UnitedStates,Cases,0,0
4/22/2014,31,UnitedStates,Deaths,0,0
4/22/2014,31,Spain,Cases,0,0
4/22/2014,31,Spain,Deaths,0,0
4/22/2014,31,Mali,Cases,0,0
4/22/2014,31,Mali,Deaths,0,0
4/23/2014,32,Guinea,Cases,10,218
4/23/2014,32,Guinea,Deaths,5,141
4/23/2014,32,Liberia,Cases,0,34
4/23/2014,32,Liberia,Deaths,0,13
4/23/2014,32,SierraLeone,Cases,0,12
4/23/2014,32,SierraLeone,Deaths,0,5
4/23/2014,32,Nigeria,Cases,0,0
4/23/2014,32,Nigeria,Deaths,0,0
4/23/2014,32,Senegal,Cases,0,0
4/23/2014,32,Senegal,Deaths,0,0
4/23/2014,32,UnitedStates,Cases,0,0
4/23/2014,32,UnitedStates,Deaths,0,0
4/23/2014,32,Spain,Cases,0,0
4/23/2014,32,Spain,Deaths,0,0
4/23/2014,32,Mali,Cases,0,0
4/23/2014,32,Mali,Deaths,0,0
4/24/2014,33,Guinea,Cases,0,218
4/24/2014,33,Guinea,Deaths,0,141
4/24/2014,33,Liberia,Cases,1,35
4/24/2014,33,Liberia,Deaths,0,13
4/24/2014,33,SierraLeone,Cases,0,12
4/24/2014,33,SierraLeone,Deaths,0,5
4/24/2014,33,Nigeria,Cases,0,0
4/24/2014,33,Nigeria,Deaths,0,0
4/24/2014,33,Senegal,Cases,0,0
4/24/2014,33,Senegal,Deaths,0,0
4/24/2014,33,UnitedStates,Cases,0,0
4/24/2014,33,UnitedStates,Deaths,0,0
4/24/2014,33,Spain,Cases,0,0
4/24/2014,33,Spain,Deaths,0,0
4/24/2014,33,Mali,Cases,0,0
4/24/2014,33,Mali,Deaths,0,0
4/26/2014,35,Guinea,Cases,6,224
4/26/2014,35,Guinea,Deaths,2,143
4/26/2014,35,Liberia,Cases,0,35
4/26/2014,35,Liberia,Deaths,0,13
4/26/2014,35,SierraLeone,Cases,0,12
4/26/2014,35,SierraLeone,Deaths,0,5
4/26/2014,35,Nigeria,Cases,0,0
4/26/2014,35,Nigeria,Deaths,0,0
4/26/2014,35,Senegal,Cases,0,0
4/26/2014,35,Senegal,Deaths,0,0
4/26/2014,35,UnitedStates,Cases,0,0
4/26/2014,35,UnitedStates,Deaths,0,0
4/26/2014,35,Spain,Cases,0,0
4/26/2014,35,Spain,Deaths,0,0
4/26/2014,35,Mali,Cases,0,0
4/26/2014,35,Mali,Deaths,0,0
5/1/2014,40,Guinea,Cases,2,226
5/1/2014,40,Guinea,Deaths,6,149
5/1/2014,40,Liberia,Cases,0,35
5/1/2014,40,Liberia,Deaths,0,13
5/1/2014,40,SierraLeone,Cases,0,12
5/1/2014,40,SierraLeone,Deaths,0,5
5/1/2014,40,Nigeria,Cases,0,0
5/1/2014,40,Nigeria,Deaths,0,0
5/1/2014,40,Senegal,Cases,0,0
5/1/2014,40,Senegal,Deaths,0,0
5/1/2014,40,UnitedStates,Cases,0,0
5/1/2014,40,UnitedStates,Deaths,0,0
5/1/2014,40,Spain,Cases,0,0
5/1/2014,40,Spain,Deaths,0,0
5/1/2014,40,Mali,Cases,0,0
5/1/2014,40,Mali,Deaths,0,0
5/3/2014,42,Guinea,Cases,5,231
5/3/2014,42,Guinea,Deaths,6,155
5/3/2014,42,Liberia,Cases,0,35
5/3/2014,42,Liberia,Deaths,0,13
5/3/2014,42,SierraLeone,Cases,0,12
5/3/2014,42,SierraLeone,Deaths,0,5
5/3/2014,42,Nigeria,Cases,0,0
5/3/2014,42,Nigeria,Deaths,0,0
5/3/2014,42,Senegal,Cases,0,0
5/3/2014,42,Senegal,Deaths,0,0
5/3/2014,42,UnitedStates,Cases,0,0
5/3/2014,42,UnitedStates,Deaths,0,0
5/3/2014,42,Spain,Cases,0,0
5/3/2014,42,Spain,Deaths,0,0
5/3/2014,42,Mali,Cases,0,0
5/3/2014,42,Mali,Deaths,0,0
5/5/2014,44,Guinea,Cases,4,235
5/5/2014,44,Guinea,Deaths,2,157
5/5/2014,44,Liberia,Cases,0,35
5/5/2014,44,Liberia,Deaths,0,13
5/5/2014,44,SierraLeone,Cases,0,12
5/5/2014,44,SierraLeone,Deaths,0,5
5/5/2014,44,Nigeria,Cases,0,0
5/5/2014,44,Nigeria,Deaths,0,0
5/5/2014,44,Senegal,Cases,0,0
5/5/2014,44,Senegal,Deaths,0,0
5/5/2014,44,UnitedStates,Cases,0,0
5/5/2014,44,UnitedStates,Deaths,0,0
5/5/2014,44,Spain,Cases,0,0
5/5/2014,44,Spain,Deaths,0,0
5/5/2014,44,Mali,Cases,0,0
5/5/2014,44,Mali,Deaths,0,0
5/7/2014,46,Guinea,Cases,1,236
5/7/2014,46,Guinea,Deaths,1,158
5/7/2014,46,Liberia,Cases,0,35
5/7/2014,46,Liberia,Deaths,0,13
5/7/2014,46,SierraLeone,Cases,0,12
5/7/2014,46,SierraLeone,Deaths,0,5
5/7/2014,46,Nigeria,Cases,0,0
5/7/2014,46,Nigeria,Deaths,0,0
5/7/2014,46,Senegal,Cases,0,0
5/7/2014,46,Senegal,Deaths,0,0
5/7/2014,46,UnitedStates,Cases,0,0
5/7/2014,46,UnitedStates,Deaths,0,0
5/7/2014,46,Spain,Cases,0,0
5/7/2014,46,Spain,Deaths,0,0
5/7/2014,46,Mali,Cases,0,0
5/7/2014,46,Mali,Deaths,0,0
5/10/2014,49,Guinea,Cases,0,236
5/10/2014,49,Guinea,Deaths,0,158
5/10/2014,49,Liberia,Cases,0,35
5/10/2014,49,Liberia,Deaths,0,13
5/10/2014,49,SierraLeone,Cases,0,12
5/10/2014,49,SierraLeone,Deaths,0,5
5/10/2014,49,Nigeria,Cases,0,0
5/10/2014,49,Nigeria,Deaths,0,0
5/10/2014,49,Senegal,Cases,0,0
5/10/2014,49,Senegal,Deaths,0,0
5/10/2014,49,UnitedStates,Cases,0,0
5/10/2014,49,UnitedStates,Deaths,0,0
5/10/2014,49,Spain,Cases,0,0
5/10/2014,49,Spain,Deaths,0,0
5/10/2014,49,Mali,Cases,0,0
5/10/2014,49,Mali,Deaths,0,0
5/12/2014,51,Guinea,Cases,12,248
5/12/2014,51,Guinea,Deaths,13,171
5/12/2014,51,Liberia,Cases,0,35
5/12/2014,51,Liberia,Deaths,0,13
5/12/2014,51,SierraLeone,Cases,0,12
5/12/2014,51,SierraLeone,Deaths,0,5
5/12/2014,51,Nigeria,Cases,0,0
5/12/2014,51,Nigeria,Deaths,0,0
5/12/2014,51,Senegal,Cases,0,0
5/12/2014,51,Senegal,Deaths,0,0
5/12/2014,51,UnitedStates,Cases,0,0
5/12/2014,51,UnitedStates,Deaths,0,0
5/12/2014,51,Spain,Cases,0,0
5/12/2014,51,Spain,Deaths,0,0
5/12/2014,51,Mali,Cases,0,0
5/12/2014,51,Mali,Deaths,0,0
5/23/2014,62,Guinea,Cases,10,258
5/23/2014,62,Guinea,Deaths,3,174
5/23/2014,62,Liberia,Cases,0,35
5/23/2014,62,Liberia,Deaths,0,13
5/23/2014,62,SierraLeone,Cases,0,12
5/23/2014,62,SierraLeone,Deaths,0,5
5/23/2014,62,Nigeria,Cases,0,0
5/23/2014,62,Nigeria,Deaths,0,0
5/23/2014,62,Senegal,Cases,0,0
5/23/2014,62,Senegal,Deaths,0,0
5/23/2014,62,UnitedStates,Cases,0,0
5/23/2014,62,UnitedStates,Deaths,0,0
5/23/2014,62,Spain,Cases,0,0
5/23/2014,62,Spain,Deaths,0,0
5/23/2014,62,Mali,Cases,0,0
5/23/2014,62,Mali,Deaths,0,0
5/27/2014,66,Guinea,Cases,23,281
5/27/2014,66,Guinea,Deaths,12,186
5/27/2014,66,Liberia,Cases,0,35
5/27/2014,66,Liberia,Deaths,0,13
5/27/2014,66,SierraLeone,Cases,4,16
5/27/2014,66,SierraLeone,Deaths,0,5
5/27/2014,66,Nigeria,Cases,0,0
5/27/2014,66,Nigeria,Deaths,0,0
5/27/2014,66,Senegal,Cases,0,0
5/27/2014,66,Senegal,Deaths,0,0
5/27/2014,66,UnitedStates,Cases,0,0
5/27/2014,66,UnitedStates,Deaths,0,0
5/27/2014,66,Spain,Cases,0,0
5/27/2014,66,Spain,Deaths,0,0
5/27/2014,66,Mali,Cases,0,0
5/27/2014,66,Mali,Deaths,0,0
5/28/2014,67,Guinea,Cases,10,291
5/28/2014,67,Guinea,Deaths,7,193
5/28/2014,67,Liberia,Cases,0,35
5/28/2014,67,Liberia,Deaths,0,13
5/28/2014,67,SierraLeone,Cases,34,50
5/28/2014,67,SierraLeone,Deaths,1,6
5/28/2014,67,Nigeria,Cases,0,0
5/28/2014,67,Nigeria,Deaths,0,0
5/28/2014,67,Senegal,Cases,0,0
5/28/2014,67,Senegal,Deaths,0,0
5/28/2014,67,UnitedStates,Cases,0,0
5/28/2014,67,UnitedStates,Deaths,0,0
5/28/2014,67,Spain,Cases,0,0
5/28/2014,67,Spain,Deaths,0,0
5/28/2014,67,Mali,Cases,0,0
5/28/2014,67,Mali,Deaths,0,0
6/1/2014,71,Guinea,Cases,37,328
6/1/2014,71,Guinea,Deaths,15,208
6/1/2014,71,Liberia,Cases,0,35
6/1/2014,71,Liberia,Deaths,0,13
6/1/2014,71,SierraLeone,Cases,29,79
6/1/2014,71,SierraLeone,Deaths,0,6
6/1/2014,71,Nigeria,Cases,0,0
6/1/2014,71,Nigeria,Deaths,0,0
6/1/2014,71,Senegal,Cases,0,0
6/1/2014,71,Senegal,Deaths,0,0
6/1/2014,71,UnitedStates,Cases,0,0
6/1/2014,71,UnitedStates,Deaths,0,0
6/1/2014,71,Spain,Cases,0,0
6/1/2014,71,Spain,Deaths,0,0
6/1/2014,71,Mali,Cases,0,0
6/1/2014,71,Mali,Deaths,0,0
6/3/2014,73,Guinea,Cases,16,344
6/3/2014,73,Guinea,Deaths,7,215
6/3/2014,73,Liberia,Cases,0,35
6/3/2014,73,Liberia,Deaths,0,13
6/3/2014,73,SierraLeone,Cases,0,79
6/3/2014,73,SierraLeone,Deaths,0,6
6/3/2014,73,Nigeria,Cases,0,0
6/3/2014,73,Nigeria,Deaths,0,0
6/3/2014,73,Senegal,Cases,0,0
6/3/2014,73,Senegal,Deaths,0,0
6/3/2014,73,UnitedStates,Cases,0,0
6/3/2014,73,UnitedStates,Deaths,0,0
6/3/2014,73,Spain,Cases,0,0
6/3/2014,73,Spain,Deaths,0,0
6/3/2014,73,Mali,Cases,0,0
6/3/2014,73,Mali,Deaths,0,0
6/5/2014,75,Guinea,Cases,0,344
6/5/2014,75,Guinea,Deaths,0,215
6/5/2014,75,Liberia,Cases,0,35
6/5/2014,75,Liberia,Deaths,0,13
6/5/2014,75,SierraLeone,Cases,2,81
6/5/2014,75,SierraLeone,Deaths,0,6
6/5/2014,75,Nigeria,Cases,0,0
6/5/2014,75,Nigeria,Deaths,0,0
6/5/2014,75,Senegal,Cases,0,0
6/5/2014,75,Senegal,Deaths,0,0
6/5/2014,75,UnitedStates,Cases,0,0
6/5/2014,75,UnitedStates,Deaths,0,0
6/5/2014,75,Spain,Cases,0,0
6/5/2014,75,Spain,Deaths,0,0
6/5/2014,75,Mali,Cases,0,0
6/5/2014,75,Mali,Deaths,0,0
6/10/2014,80,Guinea,Cases,7,351
6/10/2014,80,Guinea,Deaths,11,226
6/10/2014,80,Liberia,Cases,0,35
6/10/2014,80,Liberia,Deaths,11,24
6/10/2014,80,SierraLeone,Cases,8,89
6/10/2014,80,SierraLeone,Deaths,1,7
6/10/2014,80,Nigeria,Cases,0,0
6/10/2014,80,Nigeria,Deaths,0,0
6/10/2014,80,Senegal,Cases,0,0
6/10/2014,80,Senegal,Deaths,0,0
6/10/2014,80,UnitedStates,Cases,0,0
6/10/2014,80,UnitedStates,Deaths,0,0
6/10/2014,80,Spain,Cases,0,0
6/10/2014,80,Spain,Deaths,0,0
6/10/2014,80,Mali,Cases,0,0
6/10/2014,80,Mali,Deaths,0,0
6/16/2014,86,Guinea,Cases,47,398
6/16/2014,86,Guinea,Deaths,38,264
6/16/2014,86,Liberia,Cases,0,35
6/16/2014,86,Liberia,Deaths,0,24
6/16/2014,86,SierraLeone,Cases,0,89
6/16/2014,86,SierraLeone,Deaths,0,7
6/16/2014,86,Nigeria,Cases,0,0
6/16/2014,86,Nigeria,Deaths,0,0
6/16/2014,86,Senegal,Cases,0,0
6/16/2014,86,Senegal,Deaths,0,0
6/16/2014,86,UnitedStates,Cases,0,0
6/16/2014,86,UnitedStates,Deaths,0,0
6/16/2014,86,Spain,Cases,0,0
6/16/2014,86,Spain,Deaths,0,0
6/16/2014,86,Mali,Cases,0,0
6/16/2014,86,Mali,Deaths,0,0
6/17/2014,87,Guinea,Cases,0,398
6/17/2014,87,Guinea,Deaths,0,264
6/17/2014,87,Liberia,Cases,0,35
6/17/2014,87,Liberia,Deaths,0,24
6/17/2014,87,SierraLeone,Cases,8,97
6/17/2014,87,SierraLeone,Deaths,42,49
6/17/2014,87,Nigeria,Cases,0,0
6/17/2014,87,Nigeria,Deaths,0,0
6/17/2014,87,Senegal,Cases,0,0
6/17/2014,87,Senegal,Deaths,0,0
6/17/2014,87,UnitedStates,Cases,0,0
6/17/2014,87,UnitedStates,Deaths,0,0
6/17/2014,87,Spain,Cases,0,0
6/17/2014,87,Spain,Deaths,0,0
6/17/2014,87,Mali,Cases,0,0
6/17/2014,87,Mali,Deaths,0,0
6/18/2014,88,Guinea,Cases,0,398
6/18/2014,88,Guinea,Deaths,3,267
