"Country","Location","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","12 October 2014","New","Data package 2014-11-12","51","51.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","20 April 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","17 August 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","27 April 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","19 October 2014","New","Data package 2014-11-12","80","80.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","16 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","02 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","22 June 2014","New","Data package 2014-11-12","5","5.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","20 April 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","12 October 2014","New","Data package 2014-11-12","142","142.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","23 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","05 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","06 July 2014","New","Data package 2014-11-12","8","8.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","02 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","02 November 2014","New","Data package 2014-11-12","1","1.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","01 June 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","16 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","21 September 2014","New","Data package 2014-11-12","76","76.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","29 June 2014","New","Data package 2014-11-12","11","11.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","26 October 2014","New","Data package 2014-11-12","11","11.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","06 April 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","07 September 2014","New","Data package 2014-11-12","232","232.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","09 March 2014","New","Data package 2014-11-12","0","0.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","03 August 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","12 January 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","08 June 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","05 October 2014","New","Data package 2014-11-12","89","89.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","11 May 2014","New","Data package 2014-11-12","1","1.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","27 July 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","13 July 2014","New","Data package 2014-11-12","17","17.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","09 February 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","30 March 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","31 August 2014","New","Data package 2014-11-12","193","193.00000","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Patient database","04 May 2014","New","Data package 2014-11-12","","","","",""
"Liberia","MONTSERRADO","Number of cases","Confirmed and probable case total","Situation report","28 September 2014","New","Data package 2014-11-12","100","100.00000","","",""
