"Country","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Guinea","Number of cases","Confirmed and probable case total","Patient database","31 August 2014","New","Data package 2014-11-12","104","104.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","09 February 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","04 May 2014","New","Data package 2014-11-12","12","12.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","28 September 2014","New","Data package 2014-11-12","126","126.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","13 July 2014","New","Data package 2014-11-12","6","6.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","02 February 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","06 July 2014","New","Data package 2014-11-12","4","4.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","13 April 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","10 August 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","02 November 2014","New","Data package 2014-11-12","86","86.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","01 June 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","07 September 2014","New","Data package 2014-11-12","103","103.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","09 March 2014","New","Data package 2014-11-12","7","7.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","18 May 2014","New","Data package 2014-11-12","8","8.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","06 April 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","19 January 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","03 August 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","26 October 2014","New","Data package 2014-11-12","87","87.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","11 May 2014","New","Data package 2014-11-12","11","11.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","05 October 2014","New","Data package 2014-11-12","99","99.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","12 January 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","27 July 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","08 June 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","09 November 2014","New","Data package 2014-11-12","152","152.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","21 September 2014","New","Data package 2014-11-12","82","82.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","25 May 2014","New","Data package 2014-11-12","27","27.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","02 February 2014","New","Data package 2014-11-12","3","3.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","20 July 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","14 September 2014","New","Data package 2014-11-12","94","94.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","13 July 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","09 November 2014","New","Data package 2014-11-12","148","148.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","23 March 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","21 September 2014","New","Data package 2014-11-12","78","78.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","26 January 2014","New","Data package 2014-11-12","5","5.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","30 March 2014","New","Data package 2014-11-12","28","28.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","26 January 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","27 July 2014","New","Data package 2014-11-12","42","42.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","25 May 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","19 January 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","23 March 2014","New","Data package 2014-11-12","17","17.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","01 June 2014","New","Data package 2014-11-12","50","50.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","14 September 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","30 March 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","20 July 2014","New","Data package 2014-11-12","8","8.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","18 May 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","13 April 2014","New","Data package 2014-11-12","27","27.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","29 June 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","03 August 2014","New","Data package 2014-11-12","26","26.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","07 September 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","11 May 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","06 April 2014","New","Data package 2014-11-12","29","29.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","12 January 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","15 June 2014","New","Data package 2014-11-12","33","33.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","31 August 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","16 February 2014","New","Data package 2014-11-12","3","3.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","04 May 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","05 January 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","05 October 2014","New","Data package 2014-11-12","97","97.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","08 June 2014","New","Data package 2014-11-12","26","26.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","02 November 2014","New","Data package 2014-11-12","93","93.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","16 March 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","09 February 2014","New","Data package 2014-11-12","5","5.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","28 September 2014","New","Data package 2014-11-12","130","130.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","06 July 2014","New","Data package 2014-11-12","","","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","26 October 2014","New","Data package 2014-11-12","84","84.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Patient database","10 August 2014","New","Data package 2014-11-12","21","21.00000","","",""
"Guinea","Number of cases","Confirmed and probable case total","Situation report","09 March 2014","New","Data package 2014-11-12","","","","",""
