"Country","Ebola measure","Case definition","Ebola data source","Epi week","Indicator type","Data package ID","Display Value","Numeric","Low","High","Comments"
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","31 August 2014","New","Data package 2014-11-12","218","218.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","09 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","13 July 2014","New","Data package 2014-11-12","109","109.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","26 October 2014","New","Data package 2014-11-12","348","348.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","07 September 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","12 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","29 June 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","25 May 2014","New","Data package 2014-11-12","3","3.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","19 October 2014","New","Data package 2014-11-12","386","386.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","26 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","10 August 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","18 May 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","14 September 2014","New","Data package 2014-11-12","213","213.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","23 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","27 July 2014","New","Data package 2014-11-12","98","98.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","12 October 2014","New","Data package 2014-11-12","371","371.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","22 June 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","16 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","20 July 2014","New","Data package 2014-11-12","83","83.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","27 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","15 June 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","30 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","09 November 2014","New","Data package 2014-11-12","1","1.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","21 September 2014","New","Data package 2014-11-12","383","383.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","20 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","23 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","17 August 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","02 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","15 June 2014","New","Data package 2014-11-12","63","63.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","03 August 2014","New","Data package 2014-11-12","144","144.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","28 September 2014","New","Data package 2014-11-12","350","350.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","06 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","01 June 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","05 October 2014","New","Data package 2014-11-12","396","396.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","02 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","16 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","13 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","03 August 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","27 July 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","28 September 2014","New","Data package 2014-11-12","399","399.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","08 June 2014","New","Data package 2014-11-12","34","34.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","06 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","05 October 2014","New","Data package 2014-11-12","315","315.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","09 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","09 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","01 June 2014","New","Data package 2014-11-12","18","18.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","13 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","10 August 2014","New","Data package 2014-11-12","134","134.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","08 June 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","12 October 2014","New","Data package 2014-11-12","433","433.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","23 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","24 August 2014","New","Data package 2014-11-12","173","173.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","09 November 2014","New","Data package 2014-11-12","421","421.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","05 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","23 February 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","20 July 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","27 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","16 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","17 August 2014","New","Data package 2014-11-12","134","134.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","25 May 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","21 September 2014","New","Data package 2014-11-12","254","254.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","13 July 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","20 April 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","29 June 2014","New","Data package 2014-11-12","52","52.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","26 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","14 September 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","02 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","19 October 2014","New","Data package 2014-11-12","525","525.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Patient database","22 June 2014","New","Data package 2014-11-12","63","63.00000","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","30 March 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","19 January 2014","New","Data package 2014-11-12","","","","",""
"Sierra Leone","Number of cases","Confirmed and probable case total","Situation report","18 May 2014","New","Data package 2014-11-12","","","","",""
