Country,Admin1_Name,Admin1_PCODE,Admin2_Name,Admin2_PCODE,City/Locations,Acronym,Organisation,Type,Sectors,Activity / Project,Status Activities,Comments,
Liberia,Gbarpolu,LBR03,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Social Mobilisation/Health Promotion,"Additonally, ActionAid Liberia has targeted counties where we have long-term programmes - namely Grand Gedeh and Gbarpolu - for similar activities.  Gbarpolu and Grand Gedeh counties have not reported any confirmed cases as of yet, but we are working with the CHT and local authorities to put in place preventative measures and preparedness plans to respond potential outbreak.",,,
Liberia,Grand Gedeh,LBR06,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Social Mobilisation/Health Promotion,"Additonally, ActionAid Liberia has targeted counties where we have long-term programmes - namely Grand Gedeh and Gbarpolu - for similar activities.  Gbarpolu and Grand Gedeh counties have not reported any confirmed cases as of yet, but we are working with the CHT and local authorities to put in place preventative measures and preparedness plans to respond potential outbreak.",,,
Liberia,Margibi,LBR09,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Case Management,"ActionAid Liberia and 2 partners - Public Health Initiative of Liberia (PHIL) and Mano River Youth programme - are working on: (1) provision of sanitization supplies and solidarity packs and (2) social mobilization and community sensitization in 6 health districts within 3 counties (Montserrado, Margibi and Bomi). The locations are considered hotspot and were suggested by MoHSW.",,,
Liberia,Margibi,LBR09,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Coordination,,,,
Liberia,Margibi,LBR09,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Case Management,"ActionAid Liberia and 2 partners - Public Health Initiative of Liberia (PHIL) and Mano River Youth programme - are working on: (1) provision of sanitization supplies and solidarity packs and (2) social mobilization and community sensitization in 6 health districts within 3 counties (Montserrado, Margibi and Bomi). The locations are considered hotspot and were suggested by MoHSW.",,,
Liberia,Montserrado,LBR11,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Coordination,,,,
Liberia,Montserrado,LBR11,,,,ActionAid Liberia,ActionAid Liberia,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,ADC ,African Development Corps,International Organization,Coordination,,,,
Liberia,Lofa,LBR08,,,,ADC ,African Development Corps,International Organization,Social Mobilisation/Health Promotion,"Training 19 Liberian staff, working with local leaders (town chiefs, paramount chiefs, women leaders, youth leaders) on awareness raising, prevention and planning to hand out supplies.",,,
Liberia,Maryland,LBR10,,,,ADC ,African Development Corps,International Organization,Coordination,,,,
Liberia,Maryland,LBR10,,,,ADC ,African Development Corps,International Organization,Social Mobilisation/Health Promotion,"Training 19 Liberian staff, working with local leaders (town chiefs, paramount chiefs, women leaders, youth leaders) on awareness raising, prevention and planning to hand out supplies.",,,
Liberia,Nimba,LBR12,,,,ADC ,African Development Corps,International Organization,Coordination,,,,
Liberia,Nimba,LBR12,,,,ADC ,African Development Corps,International Organization,Social Mobilisation/Health Promotion,"Training 19 Liberian staff, working with local leaders (town chiefs, paramount chiefs, women leaders, youth leaders) on awareness raising, prevention and planning to hand out supplies.",,,
Liberia,Sinoe,LBR15,,,,AEL ,Association of Evangelicals of Liberia,National Organization,WASH,,,,
Liberia,,,,,,AfDB,African Development Bank,Donors,Case Management,,,,
Liberia,,,,,,AfDB,African Development Bank,Donors,Coordination,,,,
Liberia,Bong,LBR02,,,,Africare,Africare,International Organization,Case Management,"Working closely with the CHTs to support 31 facilities in Bong County including Phebe Hospital OPD and C.B. Dunbar OPD, and 38 facilities in Nimba County.",,,
Liberia,Bong,LBR02,,,,Africare,Africare,International Organization,Coordination,,,,
Liberia,Bong,LBR02,,,,Africare,Africare,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,Africare,Africare,International Organization,Surveillance/Contact Tracing,,,,
Liberia,Grand Bassa,LBR04,,,,Africare,Africare,International Organization,Surveillance/Contact Tracing,,,,
Liberia,Grand Kru,LBR07,,,,Africare,Africare,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,Africare,Africare,International Organization,Case Management,"Working closely with the CHTs to support 31 facilities in Bong County including Phebe Hospital OPD and C.B. Dunbar OPD, and 38 facilities in Nimba County.",,,
Liberia,Nimba,LBR12,,,,Africare,Africare,International Organization,Case Management,"Working closely with the CHTs to support 31 facilities in Bong County including Phebe Hospital OPD and C.B. Dunbar OPD, and 38 facilities in Nimba County.",,,
Liberia,Nimba,LBR12,,,,Africare,Africare,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,Africare,Africare,International Organization,Surveillance/Contact Tracing,,,,
Liberia,Maryland,LBR10,,,,AGPN,Adolescent Girls Protection Network,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,AHA,African Humanitarian Action,International NGO,Coordination,Providing technical support to CHT and MoHSW in Lofa County,,,
Liberia,Maryland,LBR10,,,,APA,Assistance for Providing Aid,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,BRAC,BRAC,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,BRAC,BRAC,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,BRAC,BRAC,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,BWDA,Bassa Women Development Association,National NGO,Social Mobilisation/Education,,,,
Liberia,Bong,LBR02,,,,CAFOD,Catholic Agency For Overseas Development,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,CAFOD,Catholic Agency For Overseas Development,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,CAFOD,Catholic Agency For Overseas Development,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Maryland,LBR10,,,,Caritas Liberia ,Caritas Liberia ,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Bomi,LBR01,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Gbarpolu,LBR03,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Cape Mount,LBR05,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Gedeh,LBR06,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Kru,LBR07,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Margibi,LBR09,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Maryland,LBR10,,,,Carter Center,Carter Center,International Organization,Logistics,Material Support (once),,,
Liberia,Maryland,LBR10,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,River Ghee,LBR13,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Rivercess,LBR14,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,Carter Center,Carter Center,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,CDC,US Center for Disease Control,Goverment,Surveillance/Contact Tracing,,Sufficient and adequate,,
Liberia,Montserrado,LBR11,,,,CDC,US Center for Disease Control,Goverment,Surveillance/Contact Tracing,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,,,,,,CDC,US Center for Disease Control,Goverment,Coordination,,,,
Liberia,,,,,,CDC,US Center for Disease Control,Goverment,Epi-Surveillance and Lab,,,,
Liberia,,,,,,CDC,US Center for Disease Control,Goverment,Health Promotion,,,,
Liberia,,,,,,CDC,US Center for Disease Control,Goverment,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,ChildFund,ChildFund,International Organization,Social Mobilisation/Health Promotion,Providing Ebola awareness flyers to CHT in Lofa County,,,
Liberia,Grand Kru,LBR07,,,,CODES,CODES,National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,CWW,Concern Worldwide,International NGO,Case Management,"IrishAid ERFS Phase II support: IEC materials, 4 hand washing stations, PPEs, isolation unit tents, training of OiCs and CHVs, and awareness messaging continued across all operational areas.",,,
Liberia,Grand Bassa,LBR04,,,,CWW,Concern Worldwide,International NGO,Social Mobilisation/Health Promotion,"IrishAid development funding now used for essential development activities and non-essential funds now used for Ebola emergency response, social awareness raising, supporting case management, loistical support and materials, etc.",,,
Liberia,Lofa,LBR08,,,,CWW,Concern Worldwide,International NGO,Case Management,"IrishAid ERFS Phase II support: IEC materials, 4 hand washing stations, PPEs, isolation unit tents, training of OiCs and CHVs, and awareness messaging continued across all operational areas.",,,
Liberia,Lofa,LBR08,,,,CWW,Concern Worldwide,International NGO,Social Mobilisation/Health Promotion,"IrishAid development funding now used for essential development activities and non-essential funds now used for Ebola emergency response, social awareness raising, supporting case management, loistical support and materials, etc.",,,
Liberia,Montserrado,LBR11,,,,CWW,Concern Worldwide,International NGO,Case Management,"IrishAid ERFS Phase II support: IEC materials, 4 hand washing stations, PPEs, isolation unit tents, training of OiCs and CHVs, and awareness messaging continued across all operational areas.",,,
Liberia,Montserrado,LBR11,,,,CWW,Concern Worldwide,International NGO,Social Mobilisation/Health Promotion,"Liberia WASH Consortium (LWC) joint response efforts, social awareness/support to case management and burial teams, and logistical support (only CW coponent included here)",,,
Liberia,Grand Bassa,LBR04,,,,Conservation International,Conservation International,International Organization,Coordination,,,,
Liberia,Grand Bassa,LBR04,,,,Conservation International,Conservation International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,Conservation International,Conservation International,International Organization,Coordination,,,,
Liberia,Nimba,LBR12,,,,Conservation International,Conservation International,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,,,,,Countrywide,Conservation International,Conservation International,International Organization,Case Management,"Investing 10k to procure assorted liquid soap, sanitizers, chlorox, deltol, chlorine, hygiene buckets, for distribution in project areas",,,
Liberia,,,,,Countrywide,Conservation International,Conservation International,International Organization,Social Mobilisation/Health Promotion,"Contracted local consultants to produce  Ebola awareness + Health and Hygiene radio messages (dramas and jingles) in Gio, Mano, English and Bassa; Contracted local artist to work with CI Program team to produce Ebola Awareness posters for distribution",,,
Liberia,Bong,LBR02,,,,CRG,Croix-Rouge Guinée,Red Cross Movement,Social Mobilisation/Health Promotion,,"Existing but no info on adequacy or on capacity to cover needs, or low achievement",,
Liberia,Bomi,LBR01,,,,CRS,Catholic Relief Services,International NGO,Logistics,,,Donation of medical supplies to St. Luke Clinic: Tubmanberg,Donation of medical supplies to St. Luke Clinic: Tubmanberg
Liberia,Grand Bassa,LBR04,,,,CRS,Catholic Relief Services,International NGO,Logistics,,,Donation of medical supplies to St. Peter Claver Health Centre,Donation of medical supplies to St. Peter Claver Health Centre
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,,CRS,Catholic Relief Services,International NGO,Logistics,,,"Donation of medical supplies to Star of the Sea Health Center, Sr. Barbara Ann Health Center, St. Agnes maternity Clinic, Bishop John Collins Health Center, Catholic Hosptial and Catholic Hospital Small Clinic
Donation of medical supplies to Benedict  Menni Health Center: Paynesville
Donation of medical supplies to Holy Family Clinic: Caldwell","Donation of medical supplies to Star of the Sea Health Center, Sr. Barbara Ann Health Center, St. Agnes maternity Clinic, Bishop John Collins Health Center, Catholic Hosptial and Catholic Hospital Small Clinic
Donation of medical supplies to Benedict  Menni Health Center: Paynesville
Donation of medical supplies to Holy Family Clinic: Caldwell"
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,,CRS,Catholic Relief Services,International NGO,Social Mobilisation/Education,,,"Training of CSOs volunteers
Conducting Social Mobilisation & Ebola awareness
Distribution of Hand Washing Kits  & IEC/BCC Posters
Distribition of IEC/BCC Psoters to Catholic Health Facilities, schools & Parishes","Training of CSOs volunteers
Conducting Social Mobilisation & Ebola awareness
Distribution of Hand Washing Kits  & IEC/BCC Posters
Distribition of IEC/BCC Psoters to Catholic Health Facilities, schools & Parishes"
Liberia,Nimba,LBR12,Sanniquelleh-Mahn,LBR1203,,CRS,Catholic Relief Services,International NGO,Logistics,,,Donation of medical supplies to St Mary's Clinic,Donation of medical supplies to St Mary's Clinic
Liberia,Nimba,LBR12,Tappita,LBR1204,Tapita,CRS,Catholic Relief Services,International NGO,Logistics,,,"Donation of medical supplies to Consolata Clinic
Donation of medical supplies to Ganta TB/Leprosy hospital","Donation of medical supplies to Consolata Clinic
Donation of medical supplies to Ganta TB/Leprosy hospital"
Liberia,Grand Bassa,LBR04,,,,CSC,China Steel Corporation,Private,Social Mobilisation/Health Promotion,"is mobilizing the civil Society groups to join the fight on Ebola, UNMIL has given them airtime with local community radios to educate the people on prevention and management of Ebola Virus Disease twice a week",,,
Liberia,Rivercess,LBR14,,,,DDC,District Development Council,National Organization,Social Mobilisation/Health Promotion,Health Advocacy. DDC has been involved in creating awareness on Ebola spread and how to contain it,,,
Liberia,Grand Bassa,LBR04,,,,DRC,Danish Refugee Council,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,DRC,Danish Refugee Council,International NGO,Community care,,,,
Liberia,Maryland,LBR10,,,,DRC,Danish Refugee Council,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Montserrado,LBR11,,,,DRC,Danish Refugee Council,International NGO,Social Mobilisation/Health Promotion,Community sensitization and distribution of awareness materials,,,
Liberia,Montserrado,LBR11,,,,DRC,Danish Refugee Council,International NGO,Community care,,,,
Liberia,Montserrado,LBR11,,,,DRC,Danish Refugee Council,International NGO,Case Management,,,,
Liberia,Nimba,LBR12,,,,DRC,Danish Refugee Council,International NGO,Social Mobilisation/Health Promotion,Community sensitization and distribution of awareness materials,,,
Liberia,Nimba,LBR12,,,,DRC,Danish Refugee Council,International NGO,Community care,,,,
Liberia,River Ghee,LBR13,,,,DRC,Danish Refugee Council,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,River Ghee,LBR13,,,,DRC,Danish Refugee Council,International NGO,Community care,,,,
Liberia,Montserrado,LBR11,,,,ELWA,Eternal Love Winning Africa,National NGO,Case Management,,,,
Liberia,,,,,,EU,European Union,Donors,Coordination,,,,
Liberia,,,,,,FAO,Food and Agriculture Organization,UN Agency,Coordination,,,,
Liberia,Montserrado,LBR11,,,,FCA,Finnish Church Aid,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,FED,Food and Enterprise Development program,Private,Social Mobilisation/Education,,,,
Liberia,Sinoe,LBR15,,,,FOCUS,unknown,Other,Protection,,,,
Liberia,Sinoe,LBR15,,,,GAA,German Agro Action,International NGO,other,"Agriculture and infrastructure development (bridge construction, hand pumps etc.)",,,
Liberia,Bomi,LBR01,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Bong,LBR02,,,,Global Communities,Global Communities,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Bong,LBR02,,,,Global Communities,Global Communities,International Organization,Surveillance/Contact Tracing,,,,
Liberia,Bong,LBR02,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Bong,LBR02,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Grand Bassa,LBR04,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Grand Bassa,LBR04,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Lofa,LBR08,,,,Global Communities,Global Communities,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Lofa,LBR08,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Lofa,LBR08,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Margibi,LBR09,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Margibi,LBR09,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Maryland,LBR10,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Maryland,LBR10,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Montserrado,LBR11,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Montserrado,LBR11,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Nimba,LBR12,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Nimba,LBR12,,,,Global Communities,Global Communities,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Nimba,LBR12,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,River Ghee,LBR13,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,River Ghee,LBR13,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,River Ghee,LBR13,,,,Global Communities,Global Communities,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Rivercess,LBR14,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Rivercess,LBR14,,,,Global Communities,Global Communities,International Organization,Safe burial,,,,
Liberia,Rivercess,LBR14,,,,Global Communities,Global Communities,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,Global Communities,Global Communities,International Organization,Dead body management,,,,
Liberia,Sinoe,LBR15,,,,Global Communities,Global Communities,International Organization,Infection prevention and control,,,,
Liberia,Sinoe,LBR15,,,,Global Communities,Global Communities,International Organization,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Bassa,LBR04,,,,GRASS ,Grassroots Agency For Social Services ,National NGO,Social Mobilisation/Health Promotion,"creating awareness in three districts in Grand Bassa and in River Cess, they attended training with CONCERN and is now promoting Hygiene to prevent Ebola.",,,
Liberia,Grand Kru,LBR07,,,,GRAWODA,GRAWODA,National NGO,Other,Gender,,,
Liberia,Maryland,LBR10,,,,Group of 77 ,Disabled Home and the National Commission on Disabilities (NCD),National NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Grand Gedeh,LBR06,,,,IBIS,IBIS,International NGO,Social Mobilisation/Education,"Education -- on standby, but gearing up again in coordination with Emergency Education Cluster as of today.",,,
Liberia,Grand Gedeh,LBR06,,,,IBIS,IBIS,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,River Ghee,LBR13,,,,IBIS,IBIS,International NGO,Social Mobilisation/Education,"Education -- on standby, but gearing up again in coordination with Emergency Education Cluster as of today.",,,
Liberia,River Ghee,LBR13,,,,IBIS,IBIS,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,Sinoe,LBR15,,,,IBIS,IBIS,International NGO,Social Mobilisation/Education,,,,
Liberia,,,,,Through national partners in several counties. ,IBIS,IBIS,International NGO,Social Mobilisation/Health Promotion,"Social Mobilization/Sensitization via Governance structures  -- IBIS has identified what their partners are doing, will gradually identify potential actions in participation (strengthening civil society participation/leadership) and perhaps in monitoring.  All tentative.",,,
Liberia,,,,,,ICRC,International Committee of the Red Cross,International NGO,Coordination,,,,
Liberia,,,,,,ICRC,International Committee of the Red Cross,International NGO,Social Mobilisation/Health Promotion,,,,
Liberia,,,,,"Centrally based but supporting staff/volunteers in  Bong, Bomi, Lofa, Margbibi, Montserrado and Nimba",IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Coordination,Incident Event Management: Coordination and support to LNRCS management team and all staff involved in Ebola response; taking part in National coordination meetings as well as County Task Force meetings.  ,,,
Liberia,,,,,,IFRC,International Federation Of Red Cross and Red Crescent Societies,Red Cross Movement,Logistics,Logistics: IFRC Logistician to support Red Cross Ebola operations and build capacity of LNRCS logistics,,,
Liberia,Lofa,LBR08,,,Nationalwide,iLab,iLab,National Organization,Epi-Surveillance and Lab,Collecting security incident data from field,,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,,ilab,iLab,National Organization,Case Management,,,,
Liberia,Montserrado,LBR11,Greater Monrovia,LBR1102,,ilab,iLab,National Organization,Surveillance/Contact Tracing,,,,
Liberia,Montserrado,LBR11,,,,ilab,iLab,National Organization,Case Management,,,,
Liberia,Montserrado,LBR11,,,,iLab,iLab,National Organization,Logistics,"Technical support to hotline/dispatch team at JFK, case mapping ",,,
Liberia,Montserrado,LBR11,,,,ilab,iLab,National Organization,Surveillance/Contact Tracing,,,,
Liberia,Bong,LBR02,,,,IMC,International Medical Corps,International NGO,Case Management,,,,
Liberia,Grand Gedeh,LBR06,,,,IRC,International Rescue Committee,International NGO,Case Management,Support strengthening of infection prevention and control as well as case management at health facilities in Grand Gedeh and Maryland Counties,,,
Liberia,Grand Gedeh,LBR06,,,,IRC,International Rescue Committee,International NGO,Coordination,Support the Grand Gedeh and Maryland County Health Teams to coordinate the EVD coordination meetings and set up a communication system with CHVs and health facility staff,,,
Liberia,Grand Gedeh,LBR06,,,,IRC,International Rescue Committee,International NGO,Epi-Surveillance and Lab,"Provide Motorbikes, vehicles and fuel for surveillance and social mobilization activities in Grand Gedeh and Maryland Counties",,,
